UID,image,type,url,name
4,static/images/sponsor_logos/ax_semantics.svg, Bronze, https://en.ax-semantics.com/,AX Semantics
5,static/images/sponsor_logos/BBGEngineering_black.svg, Bronze, https://www.techatbloomberg.com/datascience,Bloomberg
