UID,image,type,url,name
0,static/images/sponsor_logos/logo-liveperson-light-new-png.png,Platinum,https://www.liveperson.com/,LivePerson
1,static/images/sponsor_logos/logo_luxai_big.png,Platinum,https://luxai.com/,LuxAI
